COL title VAL  "GoPro HDMI Cable"@en Cable AHDMC-301 - Filmtools"@en	COL title VAL  "GoPro Headstrap Plus Quickclip"@en Quickclip | Sportsman's Warehouse"@en	0
COL title VAL  "Nike Sportswear Roshe Run - Marine/Noir/Blanc"@fr " Chaussures homme Nike Marine-Noir-Blanc "@fr	COL title VAL  "Nike Sportswear Roshe One - Midnight Navy"@en " Mens Shoes Nike Navy 511881-405 "@en	1
COL title VAL  "Intel Processor, Core i7-7700K"@en i7-7700K (BX80677I77700K)"@en Processor	COL title VAL  "Intel - Core i3-6100 3.7GHz Dual-Core Processor" Processor (BX80662I36100) PCPartPicker"	0
COL title VAL  " Casio Men's G-Shock Alarm Chronograph Watch"@en "Men's Watch (GA-100CF-1A9ER) - WATCH SHOP.com™"@en	COL title VAL  "Mens Emporio Armani Stainless Steel Necklace "@de "Schmuck online bestellen | DE Watch Shop™"@de	0
COL title VAL  "Cámara NIKON D-5300 Profesional + Estuche Memoria 8 GB Negra"@es	COL title VAL  " Nikon D5300 24.2 Megapixel Digital SLR Camera with Lens - 18 mm 55 Black"	1
COL title VAL  "Nike Free RN - White/Black-Pure Platinum"@en " Nike Platinum Mens Shoes 831508-101 "@en	COL title VAL  "Nike Free Run Distance - Black/White-Dark Grey-Wolf Grey"@en " Nike Grey Mens Shoes 827115-010 "@en	0
COL title VAL  " Daniel Wellington Men's Glasgow Silver 36mm Watch"@en "Men's Watch (DW00100047) - WATCH SHOP.com™"@en	COL title VAL  " Daniel Wellington Men's Glasgow Silver 40mm Watch"@en "Men's Watch (DW00100018) - WATCH SHOP.com™"@en	0
COL title VAL  "HD Wireless N Day/Night Outdoor Cloud Camera"@sq "DCS-2330L HD Camera | D-Link"@sq	COL title VAL  "Outdoor HD Wireless Day/Night Cloud Camera"@sq "DCS-2332L Outdoor Camera | D-Link"@sq	0
COL title VAL  "Kingston - flash memory card 16 GB microSDHC UHS-I" " Kingston UHS-I SDCAC/16GB Flash Memory Cards CDW.com	COL title VAL  "Kingston MicroSD Action Camera 16GB Clase 10 UHS-I U3 + Adaptador"@es Adaptador |PcComponentes "@es	1
COL title VAL  "Nike Zoom Winflo 3 - Racer Blue/Blue Glow-Black-White"@en " Nike Glow-Black-White Mens Shoes 831561-401 "@en	COL title VAL  "Nike Zoom Winflo 3 - Blu Racer/Blu Glow/Nero/Bianco"@it " Nike Scarpe Uomo Glow/Nero/Bianco "@it	1
COL title VAL  "Hamilton American Classic Valiant Quartz Watch H39251194" H39211194"	COL title VAL  "Hamilton American Classic Valiant Quartz Watch H39251194"	1
COL title VAL  "Prospex Diver´s Revival Automatic Watch"@en "Seiko Prospex Watch SRP773K1 nur € 439.00"@en	COL title VAL  "Blair Watch"@en "Michael Kors Blair Watch | SHOPBOP"@en	0
COL title VAL  "Nike Zoom Structure 19 Comp Pack Men's Running Shoes SP16 007"@en 007 · Nike Moderate Support Trai ah"@en	COL title VAL  "Nike Zoom Structure 19 Comp Pack Women's Running Shoes SP16 107"@en 107 · Nike Moderate Support Tr ah"@en	0
COL title VAL  " Daniel Wellington Men's Dapper 38mm Sheffield Rose Watch"@en "Men's Watch (DW00100084) - WATCH SHOP.com™"@en	COL title VAL  " Daniel Wellington Men's Dapper 38mm Durham Watch"@en "Men's Watch (DW00100115) - WATCH SHOP.com™"@en	0
COL title VAL  "ASICS Tiger GEL-Kayano Trainer Evo Origami Pack - Black / Dark Grey"@en " Mens Shoes ASICS Grey H621N-9016 "@en	COL title VAL  "Asics Gel-Kayano Trainer Evo gecko green / guava (HN6D0-8873)"@eu (HN6D0-8873) | Bludshop.com"@eu	0
COL title VAL  "Nike Free Trainer 3.0 V4 - Nero/Rosso Team/Rosso University/Volt"@it " Nike Scarpe Uomo University/Volt "@it	COL title VAL  "Nike Free Trainer 3.0 V4 - Black/Team Red/University Red/Volt"@en " Mens Shoes Nike Red/Volt 749361-066 "@en	1
COL title VAL  "GEL-KAYANO 24 LITE-SHOW"@en-nl LITE-SHOW | Men Road Running ASICS"@en-nl	COL title VAL  "GEL-KAYANO TRAINER EVO"@nl-nl EVO | Men Men's Sneakers ASICS Tiger"@nl-nl	0
COL title VAL  "Nike Sportswear Air Force 1 07 - White"@en " Mens Shoes Nike White 315122-111 "@en	COL title VAL  "Nike Sportswear Air Force 1 07 - Nero/Nero"@it " Nike Scarpe Uomo Nero-Nero 315122-001 "@it	0
COL title VAL  " WD Black 2TB Performance Desktop Hard Disk Drive - 7200 RPM SATA 6 Gb/s 64MB Cache 3.5 Inch WD2003FZEX "@en-US "WD WD200"@en-US	COL title VAL  "HDD Black 2TB 3.5 SATA 6Gbs 64MB"@es "Cables Tu tienda online líder con precios más baratos! "@es	1
COL title VAL  "Diesel 'mr. Daddy 2.0' Chronograph Watch "@en " Men's Metallic Diesel 'little Daddy' Bracelet	COL title VAL  "Diesel 'mr. Daddy 2.0' Chronograph Watch "@en " Men's Black Diesel 'rollcage' Exposed	1
COL title VAL  "Kingston - flash memory card 16 GB microSDHC UHS-I" " Kingston UHS-I SDCAC/16GB Flash Memory Cards CDW.com	COL title VAL  "SanDisk - Extreme 32GB CompactFlash (CF) Memory Card"@en-US	0
COL title VAL  " Manfrotto MVH500AH Pro Fluid Head Flat Base "@en - Optics4Birding	COL title VAL  "Manfrotto 500 Pro Fluid Head Flat Base"@en Base MVH500AH - Filmtools"@en	1
COL title VAL  "TomTom Runner 2 Cardio+Music+HP DBL/LBL (Large) - Sky Captain Blue/Scuba Blue"@en " TomTom Running Accessories Blue "@en	COL title VAL  "Polar Loop 2 - Smokey Black"@en " Polar Running Accessories Black "@en	0
COL title VAL  "AMD Ryzen Threadripper 1950X Box"@es	COL title VAL  "AMD Ryzen Threadripper Sixteen Core 1950X 4.00GHz (Socket TR4) Processor - Retail"@en "▷ AMD TR… | OcUK"@en	1
COL title VAL  "Sony HXR-NX100 Full HD NXCAM Camcorder"@en Inc."@en Inc. Sony Camcorder - Professional Video Cameras Pro E.C. Systems "E.C.	COL title VAL  "Full HD Outdoor Mini Dome Kamera"@de "DCS-4802E Full Kamera | D-Link Deutschland"@de	0
COL title VAL  "HPE Smart Array P421/2GB with FBWC - storage controller (RAID) SATA 6Gb/s" " HPE 6Gb/s 631674-B21 RAID Controllers CDW.com	COL title VAL  "Transcend TS64GUSDU1 - flash memory card 64 GB SDXC UHS-I" " Transcend UHS-I Flash Memory Cards CDW.com	0
COL title VAL  "PUMA EVOSPEED 3.5 LTH FG"@de FG - FUßBALLSCHUHE NOCKEN Puma Farbe Vielfarbig 103794 01 Der Online-Shop für deine Sportbekleidung"@de	COL title VAL  "Puma evoSPEED 3.5 Lth FG - Puma Black/Puma White/Red Blast"@en " Blast Mens Soccer Cleats Firm Ground "@en	1
COL title VAL  "Nike Sportswear Womens Benassi Just Do It - Black"@en " Shoes Nike Black 343881-011 "@en	COL title VAL  "Nike Alpha Huarache Men's Low Turf Shoes - Black/White"@en "Cleated"@en	0
COL title VAL  "Glasgow Rose Gold Ladies´ Watch 36mm"@en "Daniel Wellington Glasgow 36mm nur € 111.20"@en	COL title VAL  "Glasgow Rosegold Damenuhr 36mm"@de 20 €"@de "Daniel Wellington Glasgow 36mm nur 111	1
COL title VAL  "Corsair Dominator Platinum 16GB (2x8GB) DDR4 PC4-24000 3000MHz Dual Channel Kit "@en 2x8GB | CMD16GX4M2B3000C15 Novatech"@en	COL title VAL  "Corsair Vengeance LPX Red 16GB (4x4GB) DDR4 PC4-24000 3000MHz Dual/Quad Channel Kit "@en 4x4GB | CMK16GX4M4B3000C15R Novatech"@en	0
COL title VAL  " Manfrotto MT055CXPRO4 Carbon Fiber Tripod "@en - Optics4Birding	COL title VAL  "Manfrotto 504HD,546BK Midi Twin System Mid-Level Spreader" 546BK Spreader | Manfrotto WTS Broadcast " 504HD	0
COL title VAL  "Michele Serein Watch MWW21A000001" "Shop Michele MWW21A000008 Watches | Northeastern Fine Jewelry"	COL title VAL  "Fossil ES3487 watch"	0
COL title VAL  "Apple iMac 21.5-inch 3.06GHz Core i3 (Mid 2010) MC508LL/A" "iMac 21.5" | macofalltrades"	COL title VAL  "Apple MacBook Pro 13-inch (Glossy) 2.5GHz Core i5 (Mid 2012) MD101LL/A" "MacBook 13" | macofalltrades"	0
COL title VAL  "SanDisk Extreme Pro 64GB SDHC UHS-I Card (SDSDXXG-064G-GN4IN)"@en-US "Computer Accessories & Peripherals - Page 2991 | Laptops Outlet Direct"@en-US	COL title VAL  "SanDisk 64GB Class 4 SDXC Flash Memory Card- SDSDB-064G-B35 (Label May Change)"@en-US "Computer Accessories & Peripherals - Page 7 | Laptops Outlet Direct"@en-US	0
COL title VAL  "345628-B21 BL40P (1) X2.2GHz 2MB Server" "Null"	COL title VAL  "345628-B21 BL40P (1) X2.2GHz 2MB Server", "Null" Price 345628-B21" Server Wholesale 345628-B21	1
COL title VAL  "SanDisk SDSDB-016G CRZ 16GB SDHC card Class 2 2MB/s Bulk"	COL title VAL  "SanDisk SDSDJ-016G CRZ 16GB 9p SDHC card Class 2 2MB/s Bulk"	1
COL title VAL  "Jordan - Men's Air Jordan 5 Retro 'Dark Stucco Camo' (Dark | Fire Red)"	COL title VAL  " FjallRaven G-1000 Cap Dark Grey "@en "FjallRaven - ca"@en	0
COL title VAL  "NIKE ZOOM WINFLO 3" " kixpress.com - NIKE   3 831561-001	COL title VAL  "Nike Air Zoom Pegasus 33 - Concord/White-Black-Electric Green"@en " Nike Mens Shoes Green "@en	0
COL title VAL  "GoPro Rechargeable Battery (for HERO4 Black/HERO4 Silver) (GoPro Official Accessory)"@en-US "Accessories - Page 985 | EISF"@en-US	COL title VAL  "Knog lights Qudos Action Video Light for GoPro Silver" Scubastore" Silver kopen en aanbiedingen	0
COL title VAL  "Asics Gel Pulse 7 Men's Running Shoes SS16 5093"@en 5093 · Asics Neutral Trainers ah"@en	COL title VAL  "Asics Gel-Pulse 7 - Deep Cobalt/Silver/Hot Orange"@en " Asics Mens Shoes Orange "@en	1
COL title VAL  "Apple 12.9" iPad Pro Smart cover MK0L2M/A"@en MK0L2M/A LN72920 - MK0L2ZM/A | SCAN UK"@en	COL title VAL  "Apple iPad mini 4 Wi-Fi 128GB - Oro"@es Mini Gris Black Friday 2017 "@es	0
COL title VAL  "Outdoor HD PoE Day/Night Fixed Mini Bullet Cloud Camera"@sq "DCS-7010L Outdoor Camera | D-Link"@sq	COL title VAL  "Full HD Outdoor Vandal Proof PoE Dome Camera"@cs "DCS-4602EV Full Camera | D-Link"@cs	0
COL title VAL  "Tissot Quickster T095.417.17.037.01 Chrono"@en "Watch Tissot T-Sport Laguardajoiers official dealer of in Barcelona"@en catalog	COL title VAL  "T048.417.27.057.01 Tissot T-Race"@en "Tissot T-Sport T-Race T048.417.27.057.01 Laguardajoiers official dealer of in Barcelona"@en catalog	0
COL title VAL  "Gigabyte Intel Z370M D3H Coffee Lake Micro ATX Motherboard"@en Motherboard LN84639 | SCAN UK"@en	COL title VAL  "Gigabyte B250M D3H Kaby Lake Micro ATX Motherboard"@en Motherboard LN77113 - GA-B250M-D3H | SCAN UK"@en	0
COL title VAL  "XTA-3510-73-GB-10K Sun 73-GB 10K HP FC-AL HDD" "Null"	COL title VAL  "XTA-3510-300-GB-10K Sun 300-GB 10K HP FC-AL HDD" "Null"	0
COL title VAL  "Nike Kids Mercurial Vapor XI Ronaldo IC - Seaweed/Volt/Hasta/White"@en " Nike MercurialX Mens Boots Indoor Seaweed/Volt/Hasta/White "@en	COL title VAL  "Nike Mercurial Veloce III DF FG - Black/Pink Blast"@en " Nike Mens Boots Firm Ground Blast "@en	0
COL title VAL  "Nike WMNS Air Max Thea"@en Thea Black Wolf Grey Anthracite White 599409-007 - Purchaze"@en	COL title VAL  "NIKE Air Max Thea (599409-007) Sneakers for Women @ upclassics"	1
COL title VAL  "AMD Ryzen 5 1600 6 Core AM4 CPU/Processor with Wraith Spire 95W cooler"@en cooler LN79704 - YD1600BBAEBOX | SCAN UK"@en	COL title VAL  "AMD Ryzen 5 1600 Six-Core Processor with Wraith Spire (no LED) 95W cooler "@en no LED | YD1600BBAEBOX Novatech"@en	1
COL title VAL  "Tripod Adaptor" "Go Pro Tripod Adaptor - Accessories Video Cameras Electronic & Orienteering Devices at Barrabes.com"	COL title VAL  "GoPro Tripod Mounting Kit - ABQRT-001"	1
COL title VAL  "Sandisk 32GB SDSDAA-032G SDHC Card 15MB/s Class 4 Bulk"	COL title VAL  "8GB SDHC Secure Digital Card 15MB/s Class 4"	0
COL title VAL  "TomTom Runner 2 Cardio GPS & Heart Rate Watch Black - Small Strap"@en Strap · TomTom Running ah"@en	COL title VAL  "TomTom Runner 3 Cardio + Music GPS Sports Watch Bluetooth Headphones - Black / Green"@en Green online"@en	0
COL title VAL  "Nike AIR Zoom Pegasus 32 Men's Training Shoes - Total Orange/Ghost Green/Black"@en "Running and Training"@en	COL title VAL  "Nike Tiempo Genio II Piel FG -Rojo/Plateado metalizado/Rojo total"@es " Nike -Botas de futbol-Terrenos firmes-Rojo/Plateado total "@es	0
COL title VAL  "Air Jordan 5 Low “Dunk From Above” White/Metallic Gold Star-Midnight Navy For Sale"@en-US Sale | New Jordans 2016"@en-US	COL title VAL  "Air Jordans 5 Retro White/Fire Red-Black For Sale"@en-US Sale | New 2017"@en-US	0
COL title VAL  "Apple iMac 21.5-inch 2.5GHz Quad-core i5 (Mid 2011) MC309LL/A" "iMac 21.5" | macofalltrades"	COL title VAL  "Intel Xeon E5-2609V2 / 2.5 GHz processor" " Intel processor - 712741-B21 Add-In Processors (CPUs) CDW.com	0
COL title VAL  "Crucial - DDR3L 4 GB DIMM 240-pin" " Crucial 240-pin CT51264BD160BJ System Memory (RAM) CDW.com	COL title VAL  "Crucial - DDR3L 4 GB SO-DIMM 204-pin" " Crucial 204-pin CT4G3S186DJM System Memory (RAM) CDW.com	0
COL title VAL  "Gigabyte Kaby Lake i7 BRIX S Barebone Mini PC Kit with 2.5" SATA Bay"@en Bay LN76130 - GB-BKi7HA-7500 | SCAN UK"@en	COL title VAL  " Gigabyte Brix GB-BXBT-2807 2.5" HDD Celeron Barebone Mini PC "@en "Gigabyte for €134.95 from Maplin - Pricesearcher"@en	0
COL title VAL  "PowerLine HD Day Night Cloud Camera Kit"@hu "DCS-6045LKT PowerLine Day/Night Kit | D-Link"@hu	COL title VAL  "Full HD Wireless Day Night Network Camera"@cs "DCS-2230L Full Camera | D-Link"@cs	0
COL title VAL  "Veho VCC-005 MUVI HD NPNG Body Camera/Action Camcorder Special Edition"@en " Consumer Video Cameras | Unique Photo "@en	COL title VAL  "Veho VCC-005-MUVI-HDPRO Mini HD Body Camera/Action Camcorder"@en " Consumer Video Cameras | Unique Photo "@en	0
COL title VAL  "Cartier" "CartierCartier New Santos Series Men's Watch W20090 x 8"	COL title VAL  "Cartier Santos 100 W20090X8" W20090X8 Watch | Watchfinder & Co."	1
COL title VAL  "Max Bill Ladies´ Watch"@en "Junghans Max Watch 047/4659.00 nur € 495.00"@en	COL title VAL  "Automatic watch Max Bill"@en "Junghans Automatic Bill 027/4700.00 nur € 925.00"@en	0
COL title VAL  "Concave Quantum + FG - White/Lime"@en " Concave Mens Boots Firm Ground White/Lime "@en	COL title VAL  "Concave Quantum + SG - White/Lime"@en " Concave Mens Boots Soft Ground White/Lime "@en	0
COL title VAL  "Puma evoSPEED SL FG - Total Eclipse/Lava Blast/White"@en " Puma Mens Boots Firm Ground Blast/White "@en	COL title VAL  "Puma evoSPEED 1.4 Lth FG - Lava Blast/White/Total Eclipse"@en " Puma 1 Mens Boots Firm Ground Eclipse "@en	0
COL title VAL  "TomTom Multi-Sport Cardio CSS+AM GPS Watch - Heart Rate Monitors & Sport Watches Grey"@en	COL title VAL  "Garmin Forerunner 225 GPS Running Watch with Wrist-based Heart Rate"@en-US "Running Units | Fitness Gear Express"@en-US	0
COL title VAL  "Puma Suede Classic+ - Team Regal Red"@en " Mens Shoes Puma Red 352634-05 "@en	COL title VAL  "Puma Suede Classic+ - Black"@en " Mens Shoes Puma Black 352634-03 "@en	0
COL title VAL  "G-Shock Men´s Watch"@en "Casio G-Shock Watch GA-800-4AER nur € 129.00"@en	COL title VAL  "Morellato Gents Watch Analogue Quartz, Steel and Pink Steel, Rose Bezel, Bracelet"@en Bracelet | Samuels Jewelers"@en Bezel Quartz	0
COL title VAL  " Tissot Men's PRC200 Automatic Watch"@en "Men's Watch (T0554301105700) - WATCH SHOP.com™"@en	COL title VAL  " Tissot Men's Classic Dream Watch"@en "Men's Watch (T0334102205301) - WATCH SHOP.com™"@en	0
COL title VAL  "Canon Digital 6D EF 24-105mm F4 Kit"@en-US Kit | Infocus Camera & Imaging"@en-US	COL title VAL  "Canon EOS 80D Digital SLR Camera w EF-S 18-134mm f 3.5-5.6 IS USM Lens"@en "Buy Canon at Connection Public Sector Solutions"@en	0
COL title VAL  "Michele Serein Watch MWW21A000008" "Shop Michele MWW21A000001 Watches | Northeastern Fine Jewelry"	COL title VAL  "Michele Serein Watch MWW21A000058" "Shop Michele MWW21A000001 Watches | Northeastern Fine Jewelry"	0
COL title VAL  "Canon Deluxe Gadget Bag 100EG"@en-US "Camera Cases | EISF"@en-US	COL title VAL  "Case Logic SLRC-202 Medium SLR Camera Bag (Black)"@en-US "Bags & Cases - Page 5 | EISF"@en-US	0
COL title VAL  "GoPro Wi-Fi Remote"@en " GoPro | Unique Photo "@en	COL title VAL  "GoPro Floaty Backdoor"@en-US "Video - Page 6 | EISF"@en-US	0
COL title VAL  "Canon LC-E6 - battery charger" " Canon charger 3348B001 Digital Camera Accessories CDW.com	COL title VAL  "Canon LC-E6 Battery Charger for Canon EOS 5D Mark II, 7D & 60D Digital SLR"@en-US "Accessories - Page 19 | EISF"@en-US	1
COL title VAL  "Kupo 40" Black Extension Grip Arm"@en Arm KG203511 - Filmtools"@en	COL title VAL  "Ksix Selfie Extension For GoPro And Sport Cameras" Motardinn" Cameras kup i oferty	0
COL title VAL  "Longines Master Collection Watch L2.628.4.51.7" "Shop Longines L2.128.4.57.6 Watches | Northeastern Fine Jewelry"	COL title VAL  "Longines Master Collection L2.628.4.51.7" "Shop Longines at Merry Richards"	1
COL title VAL  "Hamilton Jazzmaster Chrono Quartz Watch H32612555"	COL title VAL  "Hamilton Chrono Quartz H32612555" "Chrono Quartz"	1
COL title VAL  "Crucial 4GB PC3-12800 240-pin DDR3 SDRAM DIMM"@en DIMM (CT51264BD160B)"@en	COL title VAL  "Crucial - DDR3L 4 GB DIMM 240-pin" " Crucial 240-pin CT51264BD160BJ System Memory (RAM) CDW.com	1
COL title VAL  "Macbook Air 11.6-inch (Glossy) 1.6GHZ Dual Core i5 (Early 2015) . - Apple MJVM2LL/A" " Used and Refurbished Macbook Airs on Sale | GainSaver	COL title VAL  " Macbook Air 11.6-inch (Glossy) 1.6GHZ Dual Core i5 (Early 2015) . - Apple MJVM2LL/A" Customer Reviews of Refurbished Macs | GainSaver Blog	1
COL title VAL  "Logitech HD Webcam C930e" " Logitech C930e - 960-000971 Webcams CDWG.com	COL title VAL  "Outdoor HD Wireless Day/Night Cloud Camera"@sl "DCS-2332L Outdoor Camera | D-Link"@sl	0
COL title VAL  "Corsair Vengeance LPX Black 32GB (2x16GB) DDR4 PC4-17000 2133MHz Dual Channel Kit "@en 2x16GB | CMK32GX4M2A2133C13 Novatech"@en	COL title VAL  "Corsair Vengeance LPX Black 32GB (2x16GB) DDR4 PC4-24000 3000MHz Dual Channel Kit "@en 2x16GB | CMK32GX4M2B3000C15 Novatech"@en	0
COL title VAL  "Metabones Canon EF to Micro Four Thirds T Speed Booster ULTRA 0.71x (Black Matt)"	COL title VAL  "T Speed Booster Ultra 0.71x Adapter for Canon Full-Frame EF Mount Lens to Micro Four Thirds Camera"	0
COL title VAL  "Nike Air Max 90 Essential"@en Essential Black White 537384-077 - Purchaze"@en	COL title VAL  "Nike Air Max 90 Essential"@en Essential Black Wolf Grey White 537384-053 - Purchaze"@en	0
COL title VAL  "HP ZBook Studio G3 i7-6700HQ 8GB 256GB SSD M1000 4GB 15.6 FHD W7Pro"@es ProBook 450 G4 i7-7500U 1TB W10Pro - Black Friday 2017 "@es	COL title VAL  "HP ZBook Studio G3 i7-6700HQ 8GB 256GB SSD M1000 4GB 15.6 FHD W7Pro"@es ProBook 640 i5-7200u 14 W10Pro - Black Friday 2017 "@es	1
COL title VAL  "Nike Train Speed 4 - Black/White/Black"@en " Nike Mens Shoes Regular Training Black/White/Black "@en	COL title VAL  "NIKE MD RUNNER 2 BG"@pl "Nike dla dzieci ✓ Darmowa dostawa do domu ★ sklep Sizeer ★"@pl	0
